Día;dia/semana;Línea de servicio;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
22/02/2019;viernes;LINEA 2;82;506;752;814;644;758;743;872;869;730;829;1534;1337;1706;1711;1195;1067;806;478
23/02/2019;sábado;LINEA 1;2068;5835;7349;8255;5548;4991;4343;4997;7109;7914;6867;6406;5989;5870;4735;4238;3677;3008;2030
23/02/2019;sábado;LINEA 2;67;381;523;609;510;562;589;706;1153;990;1009;949;934;1028;939;768;495;457;261
24/02/2019;domingo;LINEA 1;469;1927;2330;2736;2414;2802;3246;2940;2984;3492;3702;3745;3456;3641;3420;3278;2875;2128;344
24/02/2019;domingo;LINEA 2;1;127;146;209;136;281;365;301;403;508;389;407;439;422;430;393;317;198;18
25/02/2019;lunes;LINEA 1;2699;9184;11270;11108;7073;6049;5154;5285;5644;5571;5920;6412;7981;11898;9792;6067;4130;3201;1781
25/02/2019;lunes;LINEA 2;86;594;774;816;737;776;848;883;955;835;925;1059;1341;1951;1815;1205;764;557;181
26/02/2019;martes;LINEA 1;2727;10010;11521;11387;6474;5931;4990;5483;5965;5956;5755;6663;8573;11974;8994;6083;4322;3325;1722
26/02/2019;martes;LINEA 2;91;621;770;821;745;793;822;907;1090;813;885;1131;1456;1801;1672;1210;894;562;158
27/02/2019;miércoles;LINEA 1;2742;9787;11242;11619;6681;5934;4923;5303;5849;5765;4709;7576;8217;12786;9251;6379;4466;3394;1864
27/02/2019;miércoles;LINEA 2;92;589;736;870;704;739;737;857;971;799;687;1218;1401;1858;1861;1198;891;570;207
28/02/2019;jueves;LINEA 1;2639;9796;11633;11526;6784;5955;5073;5351;5938;5890;6110;6897;8476;11130;9536;6879;4315;3723;2288
28/02/2019;jueves;LINEA 2;78;580;769;839;701;724;737;911;1075;830;944;1054;1528;1688;1620;1410;976;562;246
01/03/2019;viernes;LINEA 1;2675;9408;11604;11389;6841;6368;5359;5691;6203;6018;6538;7137;9015;11874;9208;6541;4602;3980;2589
01/03/2019;viernes;LINEA 2;77;543;799;747;663;787;829;974;1008;848;920;1190;1441;1722;1987;1186;816;619;293
02/03/2019;sábado;LINEA 1;2113;5650;7369;8777;5791;5172;4981;5516;7744;7619;7025;6391;6332;6017;5480;4549;3577;3228;2239
02/03/2019;sábado;LINEA 2;76;384;495;579;486;580;624;795;1139;1124;969;899;1122;1089;1058;909;623;496;243
03/03/2019;domingo;LINEA 1;450;1762;2391;2795;2584;2870;3443;3105;3330;3663;3952;3918;3111;3570;3628;3259;3015;2123;346
03/03/2019;domingo;LINEA 2;2;142;156;181;137;297;400;302;384;493;462;385;375;439;513;382;270;194;46
04/03/2019;lunes;LINEA 1;2688;9412;11528;11031;6650;1632;;6793;14608;5570;6303;6575;8215;11976;9728;6224;4136;3257;1726
04/03/2019;lunes;LINEA 2;67;623;734;841;667;205;;2303;1106;761;966;1091;1512;1855;1904;1133;882;536;208
05/03/2019;martes;LINEA 1;2723;9986;11518;11425;6721;6176;5096;5391;6023;5986;6004;6602;8214;11951;9935;6323;4478;3564;1992
05/03/2019;martes;LINEA 2;88;623;747;863;762;711;800;1019;1088;819;894;1088;1419;1931;1846;1261;992;535;219
06/03/2019;miércoles;LINEA 1;2884;10926;13297;12198;7488;6562;5165;5500;6380;6037;6150;6699;9091;12081;10198;6739;4833;3908;2040
06/03/2019;miércoles;LINEA 2;84;648;801;936;699;805;901;937;1017;848;980;1162;1509;1906;1957;1288;996;628;231
07/03/2019;jueves;LINEA 1;2910;10767;13056;11783;7218;6408;4968;5682;6113;6101;6182;7125;9122;12440;9727;6645;4447;3759;2012
07/03/2019;jueves;LINEA 2;86;636;793;938;770;690;845;982;1025;886;917;1153;1568;1940;1877;1325;996;568;252
08/03/2019;viernes;LINEA 1;2915;10231;12817;11858;5696;665;11343;5644;5964;5992;6493;7268;9412;10837;9892;6746;4742;4130;2617
08/03/2019;viernes;LINEA 2;90;615;853;831;517;71;1575;790;893;798;979;751;1033;1524;1591;1406;864;654;300
09/03/2019;sábado;LINEA 1;2199;5938;7564;8489;5896;4984;4637;5307;7461;7430;6964;6414;6503;5431;4994;4586;3444;3189;2167
09/03/2019;sábado;LINEA 2;82;384;465;617;536;561;638;669;1114;1092;1002;919;989;1005;927;744;535;451;255
10/03/2019;domingo;LINEA 1;502;2070;2736;2620;2483;2723;3179;3132;3226;3682;3629;3559;4212;3403;3310;3534;3204;2132;340
10/03/2019;domingo;LINEA 2;;150;161;221;191;300;390;306;405;487;374;362;447;389;496;425;320;182;37
11/03/2019;lunes;LINEA 1;2831;9382;11407;10616;6549;5954;5094;5313;5840;5711;5836;6254;8040;11633;9200;5999;4084;3126;1696
11/03/2019;lunes;LINEA 2;84;593;691;844;732;792;787;874;1010;833;900;1165;1373;1676;1745;1141;864;479;203
12/03/2019;martes;LINEA 1;2754;9698;11668;11121;6655;6042;4960;5404;5853;5682;5855;6413;8212;11583;9293;6016;4043;3744;1856
12/03/2019;martes;LINEA 2;83;583;770;845;766;822;875;862;1039;856;943;1171;1470;1859;1709;1092;929;549;218
13/03/2019;miércoles;LINEA 1;286;;;;;2725;;54867;5730;5847;5803;6085;7956;11394;9501;6336;4521;3415;1927
13/03/2019;miércoles;LINEA 2;82;581;754;861;702;743;804;836;1050;787;917;1024;1370;1708;1779;1187;912;636;199
14/03/2019;jueves;LINEA 1;2794;9374;11447;11038;6616;6139;4881;5127;5704;5626;5707;6405;8398;11463;9311;6253;4441;3471;2074
14/03/2019;jueves;LINEA 2;93;600;771;824;694;703;777;868;1034;829;961;1060;1436;1756;1875;1184;945;610;225
15/03/2019;viernes;LINEA 1;2732;9281;11426;11140;6669;6067;5023;5402;5652;5713;6013;6971;8494;10872;8993;6406;4585;3920;2582
15/03/2019;viernes;LINEA 2;84;607;800;784;802;751;762;842;956;771;903;1093;1451;1524;1619;1319;941;741;274
16/03/2019;sábado;LINEA 1;2221;5733;7379;8737;5774;4968;4863;5515;7401;7414;7215;6388;5768;5719;5465;4656;3726;3239;2338
16/03/2019;sábado;LINEA 2;79;387;471;531;507;547;603;680;1063;1077;966;936;967;1024;1328;900;592;557;272
17/03/2019;domingo;LINEA 1;486;1834;2390;2690;2544;2984;3057;2988;3257;3833;3766;3369;3519;3678;3801;3304;3190;2369;358
17/03/2019;domingo;LINEA 2;1;123;132;211;203;273;395;305;376;540;412;404;439;442;562;468;383;206;41
18/03/2019;lunes;LINEA 1;2911;9966;12505;11534;7076;6297;5055;5446;5964;5958;6045;6915;8703;11944;9983;6616;4315;3289;1713
18/03/2019;lunes;LINEA 2;91;614;770;742;749;817;813;945;967;881;951;1233;1549;1937;1924;1370;946;591;188
19/03/2019;martes;LINEA 1;2906;9933;12511;11878;7376;6467;5226;5601;6108;6231;6157;6833;8717;12291;9967;6545;4358;3713;1844
19/03/2019;martes;LINEA 2;92;605;769;778;777;728;654;;234;955;943;1159;1508;1919;1980;1417;1060;642;200
20/03/2019;miércoles;LINEA 1;2860;10203;12795;12307;7244;6472;5055;5914;6261;5997;6164;7021;8874;11608;10120;6333;4310;3601;2025
20/03/2019;miércoles;LINEA 2;87;633;791;889;770;784;653;5;325;846;899;1165;1588;1862;1793;1197;899;659;208
21/03/2019;jueves;LINEA 1;2704;9566;11831;11225;6564;6042;4917;5311;5941;5900;5569;6386;8366;11894;9029;6097;4127;3653;1971
21/03/2019;jueves;LINEA 2;90;620;799;840;736;786;759;878;978;871;803;1156;1331;1654;1729;1173;897;597;206
22/03/2019;viernes;LINEA 1;2789;9000;11578;10758;6957;6072;4909;5507;6073;5836;5382;7065;8508;10003;10385;6367;4386;3680;2409
22/03/2019;viernes;LINEA 2;86;563;696;870;738;760;827;952;918;827;933;1073;1349;1393;1877;1232;782;565;278
23/03/2019;sábado;LINEA 1;2199;5629;7373;8078;5551;4850;4563;5053;7073;6866;6954;6033;5683;5579;4951;4198;3364;2958;2070
23/03/2019;sábado;LINEA 2;64;392;488;562;454;514;642;724;1148;1006;991;847;914;1046;905;830;573;448;272
24/03/2019;domingo;LINEA 1;496;1934;2529;2546;2586;2659;3233;2947;3290;3739;3409;2947;3384;2908;3034;2741;2557;2108;387
24/03/2019;domingo;LINEA 2;;136;149;195;193;274;383;306;435;465;237;350;375;411;356;322;241;165;32
25/03/2019;lunes;LINEA 1;501;1951;2334;2051;1903;2001;2387;2394;2695;3184;3668;3552;2545;3284;3261;2760;2667;1868;309
25/03/2019;lunes;LINEA 2;2;157;145;158;135;222;270;223;229;306;318;331;159;353;437;304;241;179;29
26/03/2019;martes;LINEA 1;2934;9474;11796;11074;6979;6398;5208;5577;6028;5741;6057;6806;8298;11560;9452;6060;4157;3337;1865
26/03/2019;martes;LINEA 2;88;602;718;883;771;731;879;990;1054;804;909;1181;1514;1812;1697;1111;1057;546;216
27/03/2019;miércoles;LINEA 1;2828;9575;11747;11315;6752;6001;4960;5288;6017;5857;5916;6203;8026;11690;9849;6509;4477;3580;1983
27/03/2019;miércoles;LINEA 2;75;606;771;880;683;813;806;918;995;847;852;1118;1395;1829;1892;1241;898;573;209
28/03/2019;jueves;LINEA 1;2748;9536;11343;11476;6804;6122;4948;5460;5711;5811;5818;6566;8179;11027;8874;6138;4234;3581;1893
28/03/2019;jueves;LINEA 2;90;642;778;876;707;752;798;995;907;894;872;1086;1198;1006;1821;1351;925;608;213
29/03/2019;viernes;LINEA 1;2738;9797;12685;11797;7539;6536;5174;5549;6074;5939;6337;7249;8898;11685;10071;6783;4785;4223;2818
29/03/2019;viernes;LINEA 2;87;624;762;941;761;782;782;945;886;849;905;1128;1594;1899;1842;1413;891;705;332
30/03/2019;sábado;LINEA 1;2230;6121;8211;9119;6309;5210;4826;5307;7586;7528;7399;6808;6522;5939;5509;4724;3723;3330;2621
30/03/2019;sábado;LINEA 2;94;410;551;654;515;619;626;783;1117;1144;1025;1068;1192;1106;965;925;598;540;259
31/03/2019;domingo;LINEA 1;463;1831;2559;2796;2541;2932;3166;3022;3290;3686;3717;3439;3631;3548;3609;3156;2910;2298;349
31/03/2019;domingo;LINEA 2;;144;156;193;154;304;406;319;419;553;419;344;455;509;483;416;311;234;21
01/04/2019;lunes;LINEA 1;2795;9165;11596;11059;6788;6321;4856;5629;5922;6005;5971;6365;7935;11293;9023;6816;4175;3269;1581
01/04/2019;lunes;LINEA 2;68;590;712;839;749;797;826;956;1046;863;1033;1188;1378;1639;1614;1388;963;507;204
02/04/2019;martes;LINEA 1;2601;8908;11521;11619;6385;;2101;15015;6467;5904;6208;6638;8376;11355;10000;6390;4482;3730;1833
